username,max_buzzer_prob,mean_buzzer_prob,n_tweets,n_buzzer_tweets,content_dup_score_max,lexical_similarity_score_mean,temporal_burst_score_max,posting_freq_per_hour_max,sna_out_deg_max,sna_in_deg_max,sna_betweenness_max,buzzer_label
indomiegrgsate,0.001542175,0.001542175,1,0,0.2967,0.0128,1.0,1,1.0,0.0,0.0,Non-Buzzer
PseudoMonious,0.0015385156,0.0015385156,1,0,0.3452,0.019,1.0,1,0.0,0.0,0.0,Non-Buzzer
BauPity70gBalik,0.001532825,0.001532825,1,0,0.4137,0.0063,1.0,1,0.0,0.0,0.0,Non-Buzzer
ItsmeMauwi,0.0015303334,0.0015303334,1,0,0.3186,0.0182,1.0,1,1.0,0.0,0.0,Non-Buzzer
TAdiwiguno,0.0015303334,0.0015303334,1,0,0.3231,0.0183,1.0,1,1.0,0.0,0.0,Non-Buzzer
renggastoic,0.0015289774,0.0015289774,1,0,0.304,0.0189,1.0,1,1.0,0.0,0.0,Non-Buzzer
1ladytypeofguy,0.0015169574,0.0015169574,1,0,0.3641,0.0127,1.0,1,0.0,0.0,0.0,Non-Buzzer
yayyahyn,0.0015108451,0.0015108451,1,0,0.2697,0.0145,1.0,1,1.0,0.0,0.0,Non-Buzzer
istriphainon5,0.0015108451,0.0015108451,1,0,0.2719,0.0142,1.0,1,1.0,0.0,0.0,Non-Buzzer
AriefPurs,0.001510384,0.001510384,1,0,0.2514,0.0102,1.0,1,0.0,0.0,0.0,Non-Buzzer
tapdibdab,0.0014955015,0.0014955015,1,0,0.0,0.0,1.0,1,0.0,0.0,0.0,Non-Buzzer
mingdinkiw,0.0014923129,0.0014923129,1,0,0.2786,0.0139,1.0,1,1.0,0.0,0.0,Non-Buzzer
HarishChengaiah,0.001487096,0.001487096,1,0,0.367,0.0148,1.0,1,1.0,0.0,0.0,Non-Buzzer
groflokash,0.0014845782,0.0014845782,1,0,0.3969,0.0058,1.0,1,0.0,0.0,0.0,Non-Buzzer
Marchelmar3,0.0014844502,0.0014844502,1,0,0.388,0.0079,1.0,1,0.0,0.0,0.0,Non-Buzzer
Y012KI,0.0014683756,0.0014683756,1,0,0.4597,0.0042,1.0,1,1.0,0.0,0.0,Non-Buzzer
