Id,Label,username,max_buzzer_prob,mean_buzzer_prob,n_tweets,n_buzzer_tweets,content_dup_score_max,temporal_burst_score_max,sna_out_deg_max,sna_in_deg_max,posting_freq_per_hour_max,binary_label_gephi
renggastoic,renggastoic,renggastoic,0.0015289774164557,0.0015289774164557,1,0,0.304,1.0,1.0,0.0,1.0,Non-Buzzer
reprimantum,reprimantum,reprimantum,0.0021857779938727,0.0021857779938727,1,0,0.3423,1.0,1.0,0.0,1.0,Non-Buzzer
rezatri07,rezatri07,rezatri07,0.0191204864531755,0.0191204864531755,1,0,0.2783,1.0,1.0,0.0,1.0,Non-Buzzer
rezimkeparatt,rezimkeparatt,rezimkeparatt,0.0025145725812762,0.0025145725812762,1,0,0.5269,1.0,0.0,0.0,1.0,Non-Buzzer
ridwanadit,ridwanadit,ridwanadit,0.0030249101109802,0.0030249101109802,1,0,0.2975,1.0,0.0,0.0,1.0,Non-Buzzer
rinimaulida008,rinimaulida008,rinimaulida008,0.997309684753418,0.9947659969329834,2,2,0.6822,1.0,1.0,0.0,2.0,Buzzer
risatonul,risatonul,risatonul,0.0018012372311204,0.0018012372311204,1,0,0.2432,1.0,0.0,0.0,1.0,Non-Buzzer
riverbenderr,riverbenderr,riverbenderr,0.0027485014870762,0.0027485014870762,1,0,0.5137,1.0,1.0,0.0,1.0,Non-Buzzer
riyoxreaper,riyoxreaper,riyoxreaper,0.0472680293023586,0.0472680293023586,1,0,0.3394,1.0,0.0,0.0,1.0,Non-Buzzer
rizaatta,rizaatta,rizaatta,0.0028454195708036,0.0028454195708036,1,0,0.6978,1.0,0.0,0.0,1.0,Non-Buzzer
rizkionalisme,rizkionalisme,rizkionalisme,0.0122692473232746,0.0070291873998939,2,0,0.3886,1.0,2.0,0.0,2.0,Non-Buzzer
rosyidsmile_net,rosyidsmile_net,rosyidsmile_net,0.04347974807024,0.04347974807024,1,0,0.3969,1.0,0.0,0.0,1.0,Non-Buzzer
