fold,accuracy,precision,recall,f1,roc_auc
1,0.9583333333333334,0.918918918918919,0.9714285714285714,0.9444444444444444,0.9929742388758782
2,0.9479166666666666,0.967741935483871,0.8823529411764706,0.9230769230769231,0.9758064516129034
3,0.9583333333333334,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9819734345351043
4,0.8541666666666666,0.8846153846153846,0.6764705882352942,0.7666666666666667,0.9672675521821632
5,0.9375,0.9375,0.8823529411764706,0.9090909090909091,0.9629981024667932
