Id,Label,max_buzzer_prob,mean_buzzer_prob,n_tweets,n_buzzer_tweets,binary_label_gephi,sna_out_deg_max,sna_in_deg_max,content_dup_score_max,temporal_burst_score_max,in_degree,out_degree,degree_centrality,betweenness_centrality,closeness_centrality,pagerank,eigenvector_centrality
Vulpeex,Vulpeex,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ChiyaChloe,ChiyaChloe,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hxg_diluc,hxg_diluc,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LexEx73,LexEx73,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzzzzz222,Uzzzzz222,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anamoelya,anamoelya,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHN316,PHN316,0.0,0.0,0,0,Non-Buzzer,,,,,1.0,0.0,0.017543859649122806,0.0,0.017543859649122806,0.015071337829326778,0.025217553093049575
soundofyaps,soundofyaps,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kulukuluez,kulukuluez,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
katanyajoko,katanyajoko,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADGPodcast,AADGPodcast,0.0,0.0,0,0,Non-Buzzer,,,,,1.0,0.0,0.017543859649122806,0.0,0.017543859649122806,0.015071337829326778,0.025217553093049575
cqlumbina_,cqlumbina_,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GenshinUniverse,GenshinUniverse,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lazy21,lazy21,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LambeResing,LambeResing,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geppienon,geppienon,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bLxCoffee,bLxCoffee,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hupgupta,hupgupta,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dutampreg,dutampreg,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sugondese6666,sugondese6666,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_AmandaBrownies,_AmandaBrownies,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deezfezaa,deezfezaa,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bearnotber,bearnotber,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HarrisCainee,HarrisCainee,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vyschl1,Vyschl1,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
