content_dup_score,lexical_similarity_score,semantic_dup_score,semantic_similarity_score,temporal_burst_score,posting_freq_per_hour,sna_out_deg,sna_in_deg
0.6592,0.0074,0.78024524,0.2743938,1.0,1,0.0,0.0
0.5144,0.0056,0.6951752,0.33408096,1.0,1,0.0,0.0
0.2976,0.0179,0.60103583,0.24864587,1.0,1,1.0,0.0
0.3735,0.0211,0.8036758,0.44772014,0.5,1,1.0,0.0
0.367,0.0194,0.71585107,0.29319468,1.0,2,1.0,0.0
0.5419,0.0077,0.851835,0.34025902,1.0,1,0.0,0.0
0.4034,0.0131,0.6486509,0.29406846,0.6666666666666666,2,0.0,1.0
0.4895,0.0101,0.7601621,0.41350472,0.6666666666666666,2,0.0,1.0
0.5638,0.0052,0.62683237,0.32856023,1.0,2,1.0,0.0
0.3969,0.0232,0.82882077,0.37234017,1.0,1,0.0,0.0
0.3546,0.016,0.6781084,0.33080423,1.0,1,0.0,0.0
0.3949,0.0184,0.7550508,0.35127366,0.5,1,2.0,0.0
0.3881,0.0026,0.7050584,0.29972127,1.0,1,1.0,1.0
0.0,0.0,0.7300024,0.16654699,1.0,1,0.0,0.0
0.4264,0.0089,0.64282966,0.28041682,1.0,1,0.0,0.0
0.4015,0.0092,0.7068049,0.36730772,1.0,1,0.0,0.0
0.3846,0.0112,0.6982905,0.2504536,1.0,1,0.0,5.0
0.4223,0.001,0.5213579,0.18130217,1.0,1,0.0,0.0
0.4947,0.0151,0.6963893,0.16258416,1.0,1,1.0,0.0
0.2637,0.0133,0.8228543,0.3815567,1.0,1,0.0,0.0
0.4298,0.0043,0.685973,0.25022292,1.0,1,0.0,0.0
0.7613,0.0103,0.782068,0.34996298,1.0,1,0.0,0.0
0.5638,0.0057,0.78777415,0.37624684,1.0,1,0.0,0.0
0.4221,0.0148,0.71860814,0.28611785,1.0,1,0.0,0.0
0.3036,0.0168,0.7623521,0.42753628,1.0,1,0.0,0.0
0.4866,0.0113,0.6587075,0.3752161,1.0,1,0.0,0.0
0.3162,0.0137,0.7229552,0.35941187,1.0,1,0.0,0.0
0.5767,0.0126,0.5318705,0.23380123,0.6666666666666666,2,3.0,0.0
0.3283,0.0101,0.84979534,0.44123536,1.0,1,1.0,0.0
0.6121,0.0015,0.5976577,0.1541404,1.0,1,0.0,0.0
0.5767,0.0244,0.7611474,0.33025363,0.6666666666666666,2,3.0,0.0
0.3882,0.0009,0.5272947,0.2783543,1.0,1,0.0,0.0
0.258,0.0016,0.66768813,0.19616745,1.0,2,0.0,0.0
0.4754,0.004,0.78618395,0.37630263,1.0,1,0.0,0.0
0.3108,0.0073,0.78704226,0.31840423,1.0,1,0.0,0.0
0.3456,0.013,0.6278293,0.35914844,0.6666666666666666,2,3.0,0.0
0.6794,0.0106,0.8338208,0.3012249,1.0,2,0.0,0.0
0.2801,0.0128,0.85538673,0.42627785,1.0,1,1.0,0.0
0.4159,0.0109,0.90917313,0.51997256,1.0,1,0.0,0.0
0.4656,0.0067,0.65603423,0.30776337,1.0,1,1.0,0.0
0.2618,0.016,0.7280106,0.30446723,1.0,1,0.0,0.0
0.776,0.003,0.64897674,0.18998855,1.0,1,0.0,0.0
0.5047,0.0068,0.7661372,0.3775575,0.5,1,0.0,0.0
0.2417,0.0144,0.73846906,0.42045292,1.0,1,1.0,0.0
0.4953,0.0147,0.6872366,0.31864604,1.0,1,0.0,0.0
0.2763,0.0192,0.7539524,0.35349065,1.0,1,0.0,0.0
0.5715,0.0295,0.9086136,0.40997842,1.0,1,0.0,0.0
0.3652,0.0255,0.8437987,0.37291616,1.0,1,1.0,0.0
0.4797,0.0213,0.69947815,0.2451535,1.0,1,0.0,0.0
0.4605,0.0168,0.5507317,0.20803374,1.0,1,1.0,0.0
0.4337,0.0095,0.5596932,0.16002601,0.5,1,0.0,0.0
0.4472,0.0271,0.72902334,0.23463695,1.0,1,0.0,0.0
0.304,0.0189,0.66722333,0.2647642,1.0,1,1.0,0.0
0.7847,0.0138,0.93953824,0.4061089,1.0,1,0.0,0.0
0.4681,0.0216,0.6783507,0.3164994,0.5,1,1.0,0.0
0.3125,0.0101,0.7695101,0.37507373,0.5,1,0.0,0.0
0.3106,0.0178,0.76310617,0.39415094,1.0,2,0.0,0.0
0.2464,0.014,0.7804953,0.4244779,1.0,1,0.0,6.0
0.2033,0.0179,0.7204286,0.3865613,1.0,2,0.0,0.0
1.0,0.0032,0.9680432,0.26929334,1.0,2,1.0,0.0
1.0,0.0032,0.9680432,0.29869455,1.0,2,1.0,0.0
0.6665,0.0032,0.8335643,0.3836547,1.0,1,0.0,0.0
0.386,0.0074,0.7031586,0.36226985,1.0,1,0.0,0.0
0.7209,0.0056,0.7564074,0.28212968,1.0,1,0.0,0.0
0.2305,0.0174,0.78916645,0.38799125,1.0,1,0.0,0.0
0.4924,0.0136,0.71989405,0.34327862,0.5,1,0.0,0.0
0.469,0.0149,0.70920694,0.34135655,1.0,1,0.0,0.0
0.5624,0.002,0.5829327,0.20062143,1.0,1,0.0,0.0
0.3363,0.0303,0.7887871,0.39925233,1.0,1,1.0,0.0
0.5877,0.0095,0.80943596,0.40185034,1.0,2,0.0,0.0
0.4323,0.0261,0.69944817,0.33643022,1.0,2,0.0,0.0
0.3146,0.0119,0.5796425,0.25806168,1.0,2,0.0,0.0
0.327,0.0164,0.7753817,0.42005497,1.0,1,0.0,0.0
1.0,0.0137,1.0000001,0.4404381,1.0,1,0.0,0.0
0.4521,0.0041,0.74878854,0.29144505,1.0,1,0.0,0.0
0.4819,0.0075,0.88723457,0.2848042,1.0,1,0.0,0.0
0.467,0.001,0.8755331,0.28974235,1.0,1,1.0,0.0
0.2042,0.0094,0.7004229,0.34677744,1.0,2,0.0,0.0
0.5475,0.0059,0.6198586,0.1780288,0.5,1,1.0,0.0
0.4263,0.0146,0.7708512,0.4404783,1.0,1,0.0,0.0
0.6021,0.0089,0.8115562,0.39473218,1.0,1,0.0,0.0
0.3879,0.0182,0.73994505,0.35563833,1.0,1,0.0,0.0
0.2781,0.0297,0.6515919,0.33273116,1.0,1,0.0,0.0
0.2786,0.0139,0.7521324,0.26275524,1.0,1,1.0,0.0
0.3114,0.0178,0.660934,0.3789597,1.0,1,0.0,0.0
0.5778,0.002,0.61951315,0.26092878,1.0,1,0.0,0.0
0.4052,0.0122,0.8021517,0.38706762,1.0,1,0.0,0.0
0.2747,0.015,0.83077323,0.43715978,1.0,2,2.0,0.0
0.5603,0.0042,0.83218634,0.2688173,1.0,1,0.0,0.0
0.3099,0.0068,0.612677,0.27224368,1.0,1,0.0,0.0
0.2148,0.012,0.6508224,0.32089344,0.3333333333333333,1,1.0,0.0
0.3469,0.0065,0.85010886,0.40429145,1.0,1,0.0,0.0
